Tag Length (Average tag length = 119.098225)	Fraction of Tags
0	0.000000
1	0.000004
2	0.000004
3	0.000008
4	0.000088
5	0.000079
6	0.000115
7	0.000084
8	0.000063
9	0.000067
10	0.000062
11	0.000054
12	0.000054
13	0.000039
14	0.000048
15	0.000039
16	0.000044
17	0.000043
18	0.000039
19	0.000037
20	0.000034
21	0.000027
22	0.000058
23	0.000058
24	0.000074
25	0.000114
26	0.000177
27	0.000416
28	0.000560
29	0.001272
30	0.000647
31	0.000354
32	0.000250
33	0.000287
34	0.000355
35	0.000412
36	0.000518
37	0.000591
38	0.000736
39	0.000829
40	0.000983
41	0.001129
42	0.001281
43	0.001480
44	0.001588
45	0.001739
46	0.001905
47	0.002177
48	0.002314
49	0.002413
50	0.002741
51	0.002989
52	0.003277
53	0.003500
54	0.003681
55	0.003786
56	0.004037
57	0.004048
58	0.004212
59	0.004350
60	0.004394
61	0.004548
62	0.004914
63	0.004979
64	0.005080
65	0.005156
66	0.005126
67	0.005081
68	0.005080
69	0.005094
70	0.005102
71	0.005245
72	0.005264
73	0.005421
74	0.005754
75	0.005624
76	0.005634
77	0.005460
78	0.005474
79	0.005354
80	0.005355
81	0.005534
82	0.005663
83	0.006034
84	0.006045
85	0.006315
86	0.006252
87	0.006272
88	0.006260
89	0.006344
90	0.006478
91	0.006556
92	0.006928
93	0.006903
94	0.007199
95	0.007158
96	0.007250
97	0.007252
98	0.007086
99	0.007073
100	0.007061
101	0.007001
102	0.007137
103	0.007144
104	0.007345
105	0.007536
106	0.007465
107	0.007350
108	0.007233
109	0.007171
110	0.007129
111	0.007062
112	0.007025
113	0.007216
114	0.007035
115	0.007264
116	0.007083
117	0.007153
118	0.006979
119	0.006938
120	0.006818
121	0.006842
122	0.007012
123	0.007030
124	0.007234
125	0.007247
126	0.007336
127	0.007335
128	0.007446
129	0.000840
130	0.002085
131	0.004954
132	0.006517
133	0.007305
134	0.007544
135	0.007369
136	0.007369
137	0.007271
138	0.007163
139	0.007208
140	0.006963
141	0.006564
142	0.006272
143	0.006265
144	0.006122
145	0.006107
146	0.006148
147	0.006464
148	0.006860
149	0.008583
150	0.009595
151	0.354695
